Id;community
michaelmccannmp;labour
annemcguiremp;labour
frankroymp;labour
annebegg;labour
ianmurraymp;labour
pamela_nash;labour
william_bain;labour
annmckechinmp;labour
fionaodonnellmp;labour
johnrobertsonmp;labour
inverclydemp;labour
geraintdaviesmp;labour
iandavidsonmp;labour
russellbrownmp;labour
tomgreatrexmp;labour
davidwrightmp;labour
davidcairns4mp;labour
linda_riordan;labour
thomasbrake;libdem
lfeatherstone;libdem
stephen_gilbert;libdem
ianclucas;labour
davidhansonmp;labour
stephenctimms;labour
kevinbrennanmp;labour
jimsheridanmp;labour
johnmannmp;labour
chrisruanemp;labour
tristramhuntmp;labour
steve_mccabe;labour
nicksmith4bg;labour
davidheathmp;libdem
normanlamb;libdem
gbirtwistle_mp;libdem
vincecable;libdem
rogergodsiff;labour
giselastuart;labour
sheilagilmoremp;labour
davidevennett;conservative
andrewrosindell;conservative
geraldhowarth;conservative
adamafriyie;conservative
iainwrightmp;labour
owensmithmp;labour
jennychapman;labour
patglassmp;labour
gareththomasmp;labour
vernon_coakermp;labour
chionwurah;labour
tomblenkinsop;labour
debbie_abrahams;labour
michaelmeacher;labour
chriswmp;labour
ianlaverymp;labour
andy4boro;labour
sadiqkhan;labour
patmcfaddenmp;labour
jimmurphymp;labour
dalexandermp;labour
benpbradshaw;labour
blaenaugwentmp;labour
peterhain;labour
waynedavidmp;labour
gregknightmp;conservative
joncruddasmp;labour
jackdromeymp;labour
geoffrey_cox;conservative
rachelreevesmp;labour
heidi_mp;labour
andysawfordmp;labour
chrislesliemp;labour
danjarvismp;labour
lucianaberger;labour
jreynoldsmp;labour
gloriadepieromp;labour
carolineflintmp;labour
marycreagh_mp;labour
tobyperkinsmp;labour
yvettecoopermp;labour
edballsmp;labour
johndenhammp;labour
liliangreenwood;labour
thomas_docherty;labour
justinegreening;conservative
markjsimmonds;conservative
hugoswire;conservative
stocktonnorth;labour
karlmccartney;conservative
greghands;conservative
grahamallenmp;labour
adrian_bailey;labour
siobhainmp;labour
annemcintoshmp;conservative
andrewjonesmp;conservative
damian57;conservative
freeman_george;conservative
andrewbridgenmp;conservative
richardbenyonmp;conservative
tonybaldry;conservative
paulmaynardmp;conservative
clesliemp;conservative
davidnuttallmp;conservative
george4mvmp;conservative
jessicamordenmp;labour
sarahchampionmp;labour
zacgoldsmith;conservative
kevanjonesmp;labour
julieelliottmp;labour
gwynnemp;labour
jreedmp;labour
andyburnhammp;labour
johnhealey_mp;labour
hackneyabbott;labour
stevebakermp;conservative
helengrantmp;conservative
charlieelphicke;conservative
alanduncan4mp;conservative
danielbyles;conservative
amberruddmp;conservative
heatherwheeler;conservative
andrew_selousmp;conservative
jamesgraymp;conservative
michael_ellis1;conservative
olivercolvile;conservative
jamesmorrismp;conservative
hendonmp;conservative
jdjanogly;conservative
nicolablackwood;conservative
davidburrowesmp;conservative
mp4chester;conservative
johnhemmingmp;libdem
crockartmp;libdem
adriansandersmp;libdem
alisonseabeck;labour
mikegapes;labour
spellar;labour
fabianhamilton;labour
markdurkan;other
fionamacmp;labour
ianmearnsmp;labour
dlidington;conservative
murrisonmp;conservative
davidrutleymp;conservative
peter_aldous;conservative
drphillipleemp;conservative
neil_mp;conservative
simondanczuk;labour
richardburdenmp;labour
yasminqureshimp;labour
paulblomfieldmp;labour
mpdavidmorris;conservative
johnstevensonmp;conservative
robertbuckland;conservative
stuartandrewmp;conservative
nigeldoddsmp;other
laurasandysmp;conservative
juliansmithmp;conservative
craigwhi2kermp;conservative
alecshelbrooke;conservative
markpawsey;conservative
iainastewart;conservative
philipdaviesmp;conservative
simonreevell;conservative
emmareynoldsmp;labour
valerie_vazmp;labour
jtomlinsonmp;conservative
aidanburleymp;conservative
paulflynnmp;labour
grahamjones_mp;labour
angelasmithmp;labour
megmunnmp;labour
clivebettsmp;labour
gsutcliffemp;labour
acarmichaelmp;libdem
jimmcgovernmp;labour
jonashworth;labour
ivanlewis_mp;labour
ianaustinmp;labour
michaeldughermp;labour
leicesterliz;labour
alanwhiteheadmp;labour
keith_vazmp;labour
stevebarclaymp;conservative
jojohnsonmp;conservative
mike_weatherley;conservative
naomi_long;other
lorelyburt;libdem
johnpughmp;libdem
j_donaldson_mp;other
dannyalexander;libdem
charles_kennedy;libdem
jeremycorbyn;labour
tpearce003;labour
gavinshuker;labour
karlturnermp;labour
smcpartlandmp;conservative
damiangreenmp;conservative
gildernewmp;other
paulmaskeymp;other
conormurphymp;other
bsheermanmp;labour
craig_whittaker;conservative
pauluppalmp;conservative
leighmp;labour
nadinedorriesmp;conservative
mark_j_harper;conservative
gregclarkmp;conservative
y_fovarguemp;labour
lindsayhoyle_mp;labour
apmiller1949;labour
maria_millermp;conservative
amcdonnellmp;other
chrisbryantmp;labour
jwoodcockmp;labour
hilarybennmp;labour
irrancadaviesmp;labour
chloesmithmp;conservative
trussliz;conservative
marymacleod4mp;conservative
ericjoyce;labour
kerrymp;labour
stellacreasy;labour
martinvickersmp;conservative
margaret_curran;labour
avmitchell2010;labour
cathyjamieson;labour
gemmawdmp;labour
anassarwar;labour
carolinelucas;other
jonathanplaid;other
cliveefford;labour
grahamevansmp;conservative
georgegalloway;other
petewishart;snp
carolinenokes;conservative
angusmacneilmp;snp
stewarthosiemp;snp
mikeweirsnp;snp
moraymp;snp
highpeakandrew;conservative
shammondmp;conservative
jessicaleemp;conservative
mingcampbellmp;libdem
